ID,organisation,records_lost,date,year,month,sector,sector_1,sector_2,method,data_sensitivity,data_sensitivity_text,source_name
418,Plex,15000000,Aug 2022,2022,August,web,web,No other sector,hacked,1,Just email address/Online information,Ars technica
419,Twitter,5400000,Dec 2021,2021,December,web,web,No other sector,hacked,2,SSN/Personal details,Bleeping Computer
420,Shanghai Police,500000000,Jul 2022,2022,July,financial,financial,No other sector,hacked,5,Full details,The Register
421,"City of Amagasaki, Japan",500000,Jun 2022,2022,June,government,government,No other sector,oops!,3,Credit card information,BBC
417,Dubai Real Estate Leak,800000,May 2022,2022,May,financial,financial,No other sector,inside job,1,Just email address/Online information,E24
416,Heroku,50000,Apr 2022,2022,April,tech,tech,No other sector,hacked,2,SSN/Personal details,Bleeping Computer
415,Mailchimp,106586,Apr 2022,2022,April,tech,tech,No other sector,hacked,1,Just email address/Online information,Bleeping Computer
414,PayHere,1580249,Mar 2022,2022,March,financial,financial,No other sector,hacked,3,Credit card information,Pay Here
413,CDEK,18218203,Mar 2022,2022,March,retail,retail,No other sector,hacked,3,Credit card information,Have I Been Pwned
412,Washington State Dpt of Licensing,257000,Feb 2022,2022,February,government,government,No other sector,hacked,3,Credit card information,Seattle Times
411,Red Cross,500000,Jan 2022,2022,January,NGO,NGO,No other sector,hacked,4,Health & other personal records,Arsetechnia
410,Open Subtitles,100000,Jan 2022,2022,January,web,web,No other sector,hacked,1,Just email address/Online information,Open Subtitles
409,FlexBooker,3700000,Jan 2022,2022,January,web,web,No other sector,hacked,3,Credit card information,Bleeping Computer
408,LINE Pay,133000,Dec 2021,2021,December,financial,financial,No other sector,poor security,2,SSN/Personal details,The Register
407,Robinhood,5000937,Nov 2021,2021,November,financial,financial,No other sector,hacked,2,SSN/Personal details,Tech Crunch
406,GoDaddy,1200000,Nov 2021,2021,November,web,web,No other sector,hacked,1,Just email address/Online information,SEC
405,Travelio,471376,Nov 2021,2021,November,misc,misc,No other sector,hacked,2,SSN/Personal details,HaveIBeenPwned
404,Acer,3000000,Oct 2021,2021,October,tech,tech,No other sector,hacked,1,Just email address/Online information,Hot Hardware
403,Brewdog,200000,Oct 2021,2021,October,retail,retail,No other sector,poor security,1,Just email address/Online information,Tech Radar
401,Nvidia,100000,Mar 2021,2021,March,tech,tech,No other sector,hacked,2,SSN/Personal details,CNN Business
399,Okta,100000,Jan 2021,2021,January,tech,tech,No other sector,hacked,1,Just email address/Online information,The Verge
402,Experian SA,24000000, Jul 2020,2020,July,web,web,No other sector,oops!,3,Credit card information,Uni of Hawaii
398,Royal Enfield,420873, Jan 2020,2020,January,transport,transport,No other sector,poor security,3,Credit card information,The Quint
397,Avvo,4101101,Dec 2019,2019,December,legal,legal,No other sector,hacked,1,Just email address/Online information,HaveIBeenPwned
396,Aimware,305470,May 2019,2019,May,gaming,gaming,No other sector,hacked,3,Credit card information,HaveIBeenPwned
395,Twitch,10000000,Oct 2021,2021,October,gaming,gaming,No other sector,hacked,4,Health & other personal records,BBC
394,Syniverse,500000000,Sep 2021,2021,September,telecoms,telecoms,No other sector,hacked,4,Health & other personal records,Vice
393,Pandora Papers,11900000,Oct 2021,2021,October,government,government,No other sector,hacked,4,Health & other personal records,Guardian
392,Neiman Marcus,4600000,Sep 2021,2021,September,retail,retail,No other sector,hacked,3,Credit card information,Ars Technica
391,Epik,15000000,Sep 2021,2021,September,retail,retail,No other sector,hacked,5,Full details,Ars Technica
